product,Cadereyta total libreImpuestos,Cadereyta Ctdad Ordenada,Coahuila total libreImpuestos,Coahuila Ctdad Ordenada,Durango total libreImpuestos,Durango Ctdad Ordenada,Expos F total libreImpuestos,Expos F Ctdad Ordenada,Laredo total libreImpuestos,Laredo Ctdad Ordenada,Monterrey total libreImpuestos,Monterrey Ctdad Ordenada,Online total libreImpuestos,Online Ctdad Ordenada,Queretaro total libreImpuestos,Queretaro Ctdad Ordenada,Reynosa total libreImpuestos,Reynosa Ctdad Ordenada,San Luis total libreImpuestos,San Luis Ctdad Ordenada,Total libreImpuestos,Ctdad Ordenada,fecha
Producto 1,,,15389.535,3.5,,,,,,,,,,,,,,,,,15389.535,3.5,01 abr 2022
Producto 2,,,,,,,,,,,35295.68,7,,,,,,,,,35295.68,7,01 abr 2022
Producto 3,,,37488.07999999999,7,,,,,,,125660.64,24.5,,,18528.895,3.5,,,18528.895,3.5,200206.51,38.5,01 abr 2022
Producto 4,,,,,,,,,25080.09,3.5,,,,,,,,,,,25080.09,3.5,01 abr 2022
Producto 5,,,,,,,,,,,28057.33,3.5,,,,,,,,,28057.33,3.5,01 abr 2022
Producto 6,,,28754.95,3.5,,,,,,,,,,,,,,,,,28754.95,3.5,01 abr 2022
Producto 7,,,20082.755,3.5,,,,,,,,,,,,,,,23628.08,3.5,43710.835,7,01 abr 2022
Producto 8,,,26609.065,3.5,26609.065,3.5,,,28580.09,3.5,,,,,26765.375,3.5,,,,,108563.595,14,01 abr 2022
Producto 9,,,,,,,,,29460.34,3.5,,,,,29460.34,3.5,,,,,58920.68,7,01 abr 2022
Producto 10,,,,,,,,,,,73531.185,7,,,,,41338.885,3.5,83772.64,7,198642.71,17.5,01 abr 2022
Producto 11,,,,,,,,,,,11834.48,3.5,,,26087.74,7,,,,,37922.22,10.5,01 abr 2022
Producto 12,,,58672.32,17.5,,,,,,,,,,,,,,,,,58672.32,17.5,01 abr 2022
Producto 13,,,18798.885,3.5,,,,,,,,,,,,,,,,,18798.885,3.5,01 abr 2022
Producto 14,,,,,,,,,,,,,,,19754.245,3.5,,,,,19754.245,3.5,01 abr 2022
Producto 15,,,39223.625,3.5,,,,,,,,,,,,,,,38875.79500000001,3.5,78099.42,7,01 abr 2022
Producto 16,,,,,,,,,,,22154.825,3.5,,,,,,,,,22154.825,3.5,01 abr 2022
Producto 17,,,,,,,,,,,38331.825,3.5,,,,,,,,,38331.825,3.5,01 abr 2022
Producto 18,,,,,,,,,,,,,,,,,,,25903.185,3.5,25903.185,3.5,01 abr 2022
Producto 19,,,,,,,,,,,,,,,46751.67000000001,3.5,,,,,46751.67000000001,3.5,01 abr 2022
Producto 20,,,,,,,,,,,,,,,,,,,50677.62,3.5,50677.62,3.5,01 abr 2022
Producto 21,,,,,,,,,6843.97,3.5,,,,,7963.690000000001,3.5,,,,,14807.66,7,01 abr 2022
,,,,,6755.490000000001,3.5,,,,,44843.085,24.5,,,,,,,,,51598.575,28,01 abr 2022
,,,9239.230000000001,3.5,,,,,,,17598.49,7,8358.945,3.5,,,11339.58,3.5,23144.205,10.5,69680.45,28,01 abr 2022
,,,,,,,,,,,14720.58,3.5,,,,,,,,,14720.58,3.5,01 abr 2022
Producto 22,,,,,,,,,,,23973.495,3.5,,,25172.175,3.5,,,,,49145.67000000001,7,01 abr 2022
Producto 23,,,,,,,,,,,,,,,,,,,163334.395,7,163334.395,7,01 abr 2022
Producto 24,,,39081.91,3.5,,,,,,,,,,,,,,,,,39081.91,3.5,01 abr 2022
Producto 1,,,,,,,,,,,10316.39,3.5,,,,,,,,,10316.39,3.5,02 abr 2022
Producto 25,,,,,,,,,,,,,,,23142.98,3.5,,,,,23142.98,3.5,02 abr 2022
Producto 3,,,21800.31,3.5,,,,,20019.965,3.5,41524.42000000001,7,,,,,,,,,83344.695,14,02 abr 2022
Producto 5,,,,,,,,,,,26720.855,3.5,,,,,,,,,26720.855,3.5,02 abr 2022
Producto 6,,,,,,,,,,,81848.55,10.5,,,,,,,,,81848.55,10.5,02 abr 2022
Producto 26,,,,,,,,,,,46710.37,3.5,,,,,,,,,46710.37,3.5,02 abr 2022
Producto 7,,,,,,,,,,,64245.895,10.5,,,,,,,40404,7,104649.895,17.5,02 abr 2022
Producto 8,,,,,,,,,,,55304.62,7,,,26765.375,3.5,,,,,82069.995,10.5,02 abr 2022
Producto 9,,,97862.87,10.5,,,,,,,28220.64,3.5,,,,,,,29631.665,3.5,155715.175,17.5,02 abr 2022
Producto 10,,,45284.715,3.5,,,,,41586.475,3.5,38815.49,3.5,,,,,,,,,125686.68,10.5,02 abr 2022
Producto 11,,,,,,,,,29167.565,7,11163.635,3.5,,,,,,,,,40331.2,10.5,02 abr 2022
Producto 12,,,,,,,,,14595.98,3.5,23669.8,7,,,14534.065,3.5,12819.905,3.5,,,65619.75,17.5,02 abr 2022
Producto 13,,,,,,,,,,,38843.7,7,,,,,,,,,38843.7,7,02 abr 2022
Producto 27,,,,,,,,,,,,,,,13380.325,3.5,,,,,13380.325,3.5,02 abr 2022
Producto 28,,,,,,,,,29174.04,3.5,24278.45,3.5,,,,,,,,,53452.49,7,02 abr 2022
Producto 29,,,,,,,,,,,31236.485,3.5,,,,,30119.775,3.5,,,61356.26,7,02 abr 2022
Producto 30,,,,,,,,,,,15695.4,3.5,,,38236.73,7,,,,,53932.13,10.5,02 abr 2022
Producto 16,15236.935,3.5,,,,,,,,,41083.595,7,,,23507.435,3.5,,,27207.67,3.5,107035.635,17.5,02 abr 2022
Producto 31,,,,,,,,,,,27316.17,3.5,,,,,,,,,27316.17,3.5,02 abr 2022
Producto 17,21849.765,3.5,,,,,,,,,,,,,,,,,,,21849.765,3.5,02 abr 2022
Producto 32,,,6051.605,3.5,,,,,,,,,,,,,,,,,6051.605,3.5,02 abr 2022
Producto 20,,,,,,,,,,,,,,,71699.425,3.5,,,72894.43,3.5,144593.855,7,02 abr 2022
Producto 33,,,,,,,,,,,15170.68,3.5,,,,,,,,,15170.68,3.5,02 abr 2022
Producto 34,,,,,,,,,,,20936.65,3.5,,,,,,,,,20936.65,3.5,02 abr 2022
Producto 35,,,,,,,,,,,28084.175,3.5,,,,,,,,,28084.175,3.5,02 abr 2022
,,,,,,,,,,,12137.685,3.5,,,,,,,,,12137.685,3.5,02 abr 2022
Producto 21,,,5368.440000000001,3.5,,,,,11742.5,7,,,,,,,11820.795,7,,,28931.735,17.5,02 abr 2022
,,,25927.51,14,,,,,,,107302.79,59.5,,,15012.2,7,,,62405.59499999999,31.5,210648.095,112,02 abr 2022
,,,9239.230000000001,3.5,,,,,,,17598.49,7,,,18478.425,7,,,,,45316.145,17.5,02 abr 2022
Producto 22,,,,,,,,,27606.005,3.5,23973.495,3.5,,,,,,,,,51579.5,7,02 abr 2022
Producto 36,,,,,,,,,,,33671.61,3.5,,,,,,,41351.065,3.5,75022.675,7,02 abr 2022
Producto 37,,,5417.44,3.5,,,,,,,,,,,,,,,,,5417.44,3.5,02 abr 2022
Producto 38,,,12189.1,3.5,,,,,,,,,,,,,,,,,12189.1,3.5,02 abr 2022
Producto 39,,,19118.715,3.5,,,,,,,,,,,,,,,,,19118.715,3.5,02 abr 2022
Producto 40,,,21584.01,3.5,,,,,,,,,,,,,,,,,21584.01,3.5,02 abr 2022
Producto 41,,,,,,,,,,,71333.325,7,,,,,,,,,71333.325,7,02 abr 2022
Producto 42,,,,,,,,,,,,,,,55389.005,3.5,,,,,55389.005,3.5,02 abr 2022
Producto 43,,,,,,,,,,,45342.22,3.5,,,,,,,,,45342.22,3.5,02 abr 2022
Producto 23,,,,,,,,,,,80179.54,3.5,,,82817.42,3.5,,,,,162996.96,7,02 abr 2022
Producto 44,,,,,,,,,,,81052.895,3.5,,,,,,,,,81052.895,3.5,02 abr 2022
Producto 1,,,,,,,,,,,12531.47,3.5,,,,,,,,,12531.47,3.5,03 abr 2022
Producto 45,,,,,,,,,,,32649.505,3.5,,,,,,,,,32649.505,3.5,03 abr 2022
Producto 46,,,,,,,,,,,36204.63,3.5,,,,,,,,,36204.63,3.5,03 abr 2022
Producto 3,,,,,18639.285,3.5,,,,,17751.685,3.5,,,,,,,,,36390.97,7,03 abr 2022
Producto 5,,,,,,,,,,,28223.055,3.5,,,,,,,,,28223.055,3.5,03 abr 2022
Producto 7,,,,,,,,,21698.46,3.5,38479.98,7,,,,,,,,,60178.44,10.5,03 abr 2022
Producto 8,,,,,,,,,32278.435,3.5,,,,,,,,,29113.21,3.5,61391.645,7,03 abr 2022
Producto 9,,,,,,,,,37224.11,3.5,33006.61,3.5,,,,,,,,,70230.72,7,03 abr 2022
Producto 10,,,,,,,,,,,116877.74,10.5,,,79474.71,7,,,,,196352.45,17.5,03 abr 2022
Producto 11,,,11860.8,3.5,,,,,,,11177.075,3.5,,,26959.765,7,,,,,49997.64,14,03 abr 2022
Producto 12,,,,,,,,,,,58582.71999999999,17.5,,,,,,,,,58582.71999999999,17.5,03 abr 2022
Producto 47,,,,,,,,,,,17904.635,3.5,,,,,,,,,17904.635,3.5,03 abr 2022
Producto 13,,,,,,,,,,,,,,,18798.885,3.5,,,,,18798.885,3.5,03 abr 2022
Producto 28,,,51923.9,7,,,,,32024.195,3.5,,,,,,,,,,,83948.095,10.5,03 abr 2022
Producto 29,,,29075.69,3.5,,,,,,,25371.815,3.5,,,,,,,,,54447.505,7,03 abr 2022
Producto 30,,,,,,,,,,,,,,,21242.62,3.5,,,,,21242.62,3.5,03 abr 2022
Producto 16,,,,,,,,,,,51824.22,7,,,,,,,,,51824.22,7,03 abr 2022
Producto 31,,,,,,,,,,,,,,,25808.93,3.5,,,,,25808.93,3.5,03 abr 2022
Producto 17,,,,,,,,,43229.76,3.5,32887.54,3.5,,,,,,,,,76117.3,7,03 abr 2022
Producto 48,,,,,,,,,,,,,,,9202.585,3.5,,,,,9202.585,3.5,03 abr 2022
Producto 49,,,,,,,,,,,,,,,,,60237.765,3.5,,,60237.765,3.5,03 abr 2022
Producto 20,,,,,,,,,,,63163.765,3.5,,,,,,,,,63163.765,3.5,03 abr 2022
,,,,,,,,,,,10922.415,3.5,,,22807.715,7,,,,,33730.13,10.5,03 abr 2022
,,,,,,,,,,,,,14905.17,3.5,,,,,,,14905.17,3.5,03 abr 2022
,,,,,,,,,,,14565.215,3.5,,,,,,,,,14565.215,3.5,03 abr 2022
,,,,,,,,,6893.075,3.5,30174.585,14,,,,,,,6417.705,3.5,43485.365,21,03 abr 2022
,,,,,,,,,,,8799.245,3.5,,,,,,,,,8799.245,3.5,03 abr 2022
Producto 22,,,,,,,,,,,23973.775,3.5,,,,,,,,,23973.775,3.5,03 abr 2022
Producto 50,,,,,,,,,,,27009.22,3.5,,,,,,,,,27009.22,3.5,03 abr 2022
Producto 36,33792.115,3.5,,,,,,,,,33671.61,3.5,,,,,,,,,67463.725,7,03 abr 2022
Producto 51,,,,,,,,,,,42488.635,3.5,,,,,,,,,42488.635,3.5,03 abr 2022
Producto 52,,,,,,,,,,,10319.435,3.5,,,,,,,,,10319.435,3.5,03 abr 2022
Producto 53,,,,,,,,,,,19117.455,3.5,,,,,,,,,19117.455,3.5,03 abr 2022
Producto 54,,,79623.6,3.5,,,,,,,,,,,,,,,,,79623.6,3.5,03 abr 2022
Producto 55,,,,,,,,,,,,,,,79665.32,3.5,,,,,79665.32,3.5,03 abr 2022
Producto 23,,,,,,,,,,,158821.67,7,,,,,,,85577.975,3.5,244399.645,10.5,03 abr 2022
Producto 56,,,,,,,,,,,159058.095,7,,,,,,,,,159058.095,7,03 abr 2022
Producto 57,,,,,,,,,,,118424.04,3.5,,,,,,,,,118424.04,3.5,03 abr 2022
Producto 58,,,,,,,,,,,49963.515,7,,,,,,,,,49963.515,7,03 abr 2022
Producto 59,,,,,,,,,,,31944.85,3.5,,,,,,,,,31944.85,3.5,03 abr 2022
Producto 60,,,,,,,,,,,45841.355,3.5,,,,,,,,,45841.355,3.5,03 abr 2022
Producto 2,,,21659.575,3.5,,,,,,,17752.49,3.5,,,,,,,,,39412.065,7,04 abr 2022
Producto 3,,,,,,,,,,,55744.43,10.5,,,18639.285,3.5,,,18639.285,3.5,93023,17.5,04 abr 2022
Producto 6,,,29871.905,3.5,,,,,,,26812.45,3.5,29459.535,3.5,,,,,,,86143.89,10.5,04 abr 2022
Producto 7,19240.025,3.5,,,,,,,,,19240.025,3.5,,,,,,,,,38480.05,7,04 abr 2022
Producto 8,,,53460.855,7,,,,,33623.38,3.5,55304.62,7,,,76575.73,10.5,,,,,218964.585,28,04 abr 2022
Producto 9,,,30524.9,3.5,,,,,,,,,,,,,,,,,30524.9,3.5,04 abr 2022
Producto 10,,,,,,,,,,,78159.305,7,,,,,,,,,78159.305,7,04 abr 2022
Producto 11,,,,,,,,,,,10618.23,3.5,13080.235,3.5,,,,,,,23698.465,7,04 abr 2022
Producto 12,,,27658.33,7,,,,,,,35504.7,10.5,,,26234.005,7,,,12426.645,3.5,101823.68,28,04 abr 2022
Producto 13,,,21987.035,3.5,,,,,,,,,,,,,,,,,21987.035,3.5,04 abr 2022
Producto 27,,,,,,,,,,,12743.185,3.5,,,,,,,,,12743.185,3.5,04 abr 2022
Producto 28,28395.85,3.5,,,,,,,,,,,,,,,,,,,28395.85,3.5,04 abr 2022
Producto 29,,,,,,,,,,,26707.17,3.5,,,,,,,,,26707.17,3.5,04 abr 2022
Producto 30,,,,,,,,,,,32992.96000000001,7,,,,,,,,,32992.96000000001,7,04 abr 2022
Producto 16,,,,,,,,,,,39899.23,7,,,,,,,24144.085,3.5,64043.315,10.5,04 abr 2022
Producto 31,,,,,,,,,,,26825.19,3.5,,,,,,,,,26825.19,3.5,04 abr 2022
Producto 17,,,,,,,,,,,34498.625,3.5,,,,,,,,,34498.625,3.5,04 abr 2022
Producto 32,,,,,,,,,,,6066.795,3.5,,,,,,,,,6066.795,3.5,04 abr 2022
Producto 48,,,,,,,,,,,7887.950000000001,3.5,,,,,,,,,7887.950000000001,3.5,04 abr 2022
Producto 61,,,,,,,,,,,,,9053.695,3.5,,,,,,,9053.695,3.5,04 abr 2022
Producto 19,,,,,,,,,,,36458.8,3.5,,,,,,,,,36458.8,3.5,04 abr 2022
Producto 62,,,,,,,,,,,51890.51,7,,,,,,,,,51890.51,7,04 abr 2022
Producto 63,,,,,,,,,,,33186.65,3.5,,,,,,,,,33186.65,3.5,04 abr 2022
,,,,,,,,,,,9511.355000000001,3.5,,,,,,,,,9511.355000000001,3.5,04 abr 2022
,,,,,,,,,,,36413.055,10.5,14905.17,3.5,,,,,,,51318.225,14,04 abr 2022
Producto 21,96493.95,70,6278.895,3.5,,,,,22430.17,14,20964.3,14,,,,,12916.75,7,,,159084.065,108.5,04 abr 2022
Producto 64,,,,,,,,,21598.605,10.5,6773.900000000001,3.5,,,,,,,,,28372.505,14,04 abr 2022
Producto 65,,,,,,,,,,,9935.765,3.5,,,,,,,,,9935.765,3.5,04 abr 2022
,,,,,,,,,7291.375,3.5,53480.56,28,,,,,,,6847.82,3.5,67619.755,35,04 abr 2022
,,,9355.92,3.5,,,,,,,,,,,,,,,,,9355.92,3.5,04 abr 2022
Producto 36,,,,,,,,,,,33868.52,3.5,,,,,,,,,33868.52,3.5,04 abr 2022
,,,,,,,,,,,142339.225,3.5,,,,,,,,,142339.225,3.5,04 abr 2022
Producto 66,,,,,,,,,,,,,,,16253.23,3.5,,,,,16253.23,3.5,04 abr 2022
Producto 67,,,,,,,,,,,,,,,30270.905,3.5,,,,,30270.905,3.5,04 abr 2022
Producto 54,,,,,,,,,,,,,,,,,76969.48,3.5,,,76969.48,3.5,04 abr 2022
Producto 42,,,,,,,,,,,42771.015,3.5,,,,,,,,,42771.015,3.5,04 abr 2022
Producto 23,,,,,,,,,,,136300.22,7,,,78676.57,3.5,,,,,214976.79,10.5,04 abr 2022
Producto 44,,,,,,,,,,,77000.245,3.5,,,,,,,,,77000.245,3.5,04 abr 2022
Producto 3,,,19012.07,3.5,,,,,,,,,,,,,,,,,19012.07,3.5,05 abr 2022
Producto 26,,,,,,,,,,,67386.375,3.5,,,,,,,,,67386.375,3.5,05 abr 2022
Producto 7,,,,,,,,,,,19240.025,3.5,,,,,,,,,19240.025,3.5,05 abr 2022
Producto 8,,,28033.18,3.5,,,,,,,50981.63,7,,,,,,,,,79014.81,10.5,05 abr 2022
Producto 9,,,,,,,,,,,56441.315,7,,,,,,,,,56441.315,7,05 abr 2022
Producto 10,,,,,,,,,,,,,,,,,,,39702.285,3.5,39702.285,3.5,05 abr 2022
Producto 12,,,,,,,,,,,63219.695,17.5,,,53996.32,14,,,,,117216.015,31.5,05 abr 2022
Producto 13,,,,,,,,,,,,,,,18798.885,3.5,,,,,18798.885,3.5,05 abr 2022
Producto 68,,,27887.685,7,,,,,,,,,,,,,,,,,27887.685,7,05 abr 2022
Producto 27,,,,,,,,,,,,,,,26760.65,7,,,,,26760.65,7,05 abr 2022
Producto 69,21119.175,3.5,,,,,,,,,21678.02,3.5,,,43970.745,7,,,,,86767.94,14,05 abr 2022
Producto 28,,,,,,,,,,,24278.45,3.5,,,,,,,,,24278.45,3.5,05 abr 2022
Producto 29,,,,,,,,,,,53414.34,7,,,,,,,,,53414.34,7,05 abr 2022
Producto 30,,,,,,,,,,,36415.89,7,,,,,,,,,36415.89,7,05 abr 2022
Producto 16,,,,,,,,,,,41083.595,7,,,22517.81,3.5,,,,,63601.40500000001,10.5,05 abr 2022
Producto 17,,,,,,,,,,,67272.31,7,,,,,,,,,67272.31,7,05 abr 2022
Producto 70,,,,,,,,,,,35412.755,7,,,,,,,,,35412.755,7,05 abr 2022
Producto 71,,,25121.635,3.5,,,,,,,,,,,,,,,,,25121.635,3.5,05 abr 2022
Producto 72,,,,,,,,,,,41576.325,3.5,,,,,,,,,41576.325,3.5,05 abr 2022
Producto 20,,,,,,,,,,,79865.695,3.5,,,,,,,,,79865.695,3.5,05 abr 2022
,,,,,,,,,,,27562.5,7,,,,,,,,,27562.5,7,05 abr 2022
Producto 21,,,,,,,,,,,28979.825,21,,,,,,,,,28979.825,21,05 abr 2022
,6638.52,3.5,19473.335,10.5,,,,,,,33020.365,17.5,,,,,7659.014999999999,3.5,,,66791.235,35,05 abr 2022
,,,,,,,,,,,20933.36,7,,,,,,,9239.230000000001,3.5,30172.59,10.5,05 abr 2022
,,,14017.01,3.5,,,,,,,,,,,,,,,,,14017.01,3.5,05 abr 2022
Producto 73,,,,,,,,,,,53816.105,3.5,,,,,,,,,53816.105,3.5,05 abr 2022
Producto 36,,,,,,,,,,,33671.61,3.5,,,,,,,41351.065,3.5,75022.675,7,05 abr 2022
Producto 74,,,38044.405,3.5,,,,,,,,,,,,,,,,,38044.405,3.5,05 abr 2022
Producto 38,,,,,,,,,,,11705.575,3.5,,,,,,,,,11705.575,3.5,05 abr 2022
Producto 40,,,,,,,,,,,18282.215,3.5,,,,,,,,,18282.215,3.5,05 abr 2022
Producto 75,,,,,,,,,,,47404.945,3.5,,,,,,,,,47404.945,3.5,05 abr 2022
Producto 54,,,68078.185,3.5,,,,,,,,,,,,,,,,,68078.185,3.5,05 abr 2022
Producto 76,,,64202.60000000001,3.5,,,,,,,,,,,,,,,,,64202.60000000001,3.5,05 abr 2022
Producto 42,,,,,,,,,,,61086.72499999999,3.5,,,,,,,47273.24,3.5,108359.965,7,05 abr 2022
Producto 43,,,,,,,,,,,55656.37,3.5,,,,,,,,,55656.37,3.5,05 abr 2022
Producto 23,,,,,,,,,,,70434.245,3.5,,,,,,,,,70434.245,3.5,05 abr 2022
Producto 60,,,,,,,,,,,45841.355,3.5,,,,,,,,,45841.355,3.5,05 abr 2022
Producto 1,,,,,,,,,,,10560.9,3.5,,,,,,,,,10560.9,3.5,06 abr 2022
Producto 3,,,,,,,,,,,17770.97,3.5,19696.565,3.5,,,,,,,37467.535,7,06 abr 2022
Producto 77,,,,,,,,,,,47570.565,3.5,,,,,,,,,47570.565,3.5,06 abr 2022
Producto 7,,,,,,,,,,,,,,,23663.465,3.5,,,,,23663.465,3.5,06 abr 2022
Producto 8,,,,,,,,,,,,,,,26959.275,3.5,,,,,26959.275,3.5,06 abr 2022
Producto 10,,,,,,,,,,,,,,,41791.855,3.5,,,,,41791.855,3.5,06 abr 2022
Producto 11,,,,,,,,,,,21150.325,7,,,,,,,,,21150.325,7,06 abr 2022
Producto 12,,,,,,,,,,,28145.775,7,,,14338.415,3.5,,,,,42484.19,10.5,06 abr 2022
Producto 13,,,,,,,,,,,20633.375,3.5,,,,,,,,,20633.375,3.5,06 abr 2022
Producto 28,,,,,,,,,,,54010.845,7,,,25494.77,3.5,,,,,79505.61499999999,10.5,06 abr 2022
Producto 15,,,,,,,,,,,,,45617.67000000001,3.5,,,,,,,45617.67000000001,3.5,06 abr 2022
Producto 16,,,,,,,,,,,53577.79,7,,,,,,,,,53577.79,7,06 abr 2022
Producto 31,,,,,,,,,,,59631.88,7,,,77419.37,10.5,,,,,137051.25,17.5,06 abr 2022
Producto 78,,,,,,,,,32099.69,3.5,,,,,,,,,,,32099.69,3.5,06 abr 2022
Producto 71,,,,,,,,,,,31682.56,3.5,,,,,,,,,31682.56,3.5,06 abr 2022
Producto 79,,,,,,,,,,,22928.01,3.5,,,,,,,,,22928.01,3.5,06 abr 2022
,,,,,,,,,,,41485.325,14,,,,,,,,,41485.325,14,06 abr 2022
,,,,,,,,,,,72826.11,21,,,,,,,,,72826.11,21,06 abr 2022
,18255.72,3.5,,,,,,,,,,,,,,,,,,,18255.72,3.5,06 abr 2022
Producto 21,144733.89,105,6124.44,3.5,,,,,,,94047.065,70,,,,,,,,,244905.395,178.5,06 abr 2022
,,,,,,,,,8575.875,3.5,42218.05,21,,,15128.4,7,,,7185.99,3.5,73108.315,35,06 abr 2022
,,,,,,,,,,,9292.85,3.5,,,,,,,,,9292.85,3.5,06 abr 2022
Producto 22,,,,,,,,,,,,,,,25172.175,3.5,,,,,25172.175,3.5,06 abr 2022
Producto 36,,,,,,,,,,,34895.21,3.5,,,,,,,,,34895.21,3.5,06 abr 2022
Producto 80,,,,,,,,,,,145369.105,10.5,,,,,,,,,145369.105,10.5,06 abr 2022
Producto 23,,,,,,,,,,,65869.335,3.5,,,,,,,,,65869.335,3.5,06 abr 2022
Producto 57,,,,,,,,,,,28199.15,3.5,,,,,,,,,28199.15,3.5,06 abr 2022
Producto 59,,,34447.805,3.5,,,,,,,,,,,,,,,,,34447.805,3.5,06 abr 2022
Producto 81,,,,,,,,,,,,,,,8881.915,3.5,,,,,8881.915,3.5,07 abr 2022
Producto 2,,,21611.835,3.5,,,,,,,17598.21,3.5,,,,,,,,,39210.04500000001,7,07 abr 2022
Producto 3,,,,,,,,,,,38318.49,7,,,,,,,,,38318.49,7,07 abr 2022
Producto 5,,,,,,,,,,,26088.09,3.5,,,,,,,,,26088.09,3.5,07 abr 2022
Producto 82,,,,,,,,,,,25522.84,3.5,,,,,,,,,25522.84,3.5,07 abr 2022
Producto 8,,,30238.53,3.5,,,,,,,58558.15000000001,7,,,,,,,,,88796.68,10.5,07 abr 2022
Producto 9,,,,,,,,,,,,,,,29952.79,3.5,,,66561.77500000001,7,96514.565,10.5,07 abr 2022
Producto 10,,,39702.285,3.5,40149.48,3.5,,,,,,,,,81494.14,7,,,127929.585,10.5,289275.49,24.5,07 abr 2022
Producto 11,,,,,,,,,11620.665,3.5,,,,,,,23730.595,7,,,35351.26,10.5,07 abr 2022
Producto 12,,,,,,,,,,,25759.37,7,,,14338.415,3.5,,,15093.05,3.5,55190.83500000001,14,07 abr 2022
Producto 27,,,,,,,,,,,12353.81,3.5,,,,,,,,,12353.81,3.5,07 abr 2022
Producto 83,,,,,,,,,,,,,,,14380.03,3.5,,,,,14380.03,3.5,07 abr 2022
Producto 28,,,,,,,,,,,25344.865,3.5,,,,,30459.695,3.5,,,55804.56,7,07 abr 2022
Producto 29,,,,,,,,,25991.35,3.5,,,,,,,63720.755,7,,,89712.105,10.5,07 abr 2022
Producto 15,,,,,,,,,,,37147.005,3.5,,,,,,,,,37147.005,3.5,07 abr 2022
Producto 30,,,45310.405,7,,,,,,,45249.32999999999,10.5,,,,,45514.77,7,,,136074.505,24.5,07 abr 2022
Producto 16,,,,,,,,,,,55639.885,7,,,27938.19,3.5,,,,,83578.075,10.5,07 abr 2022
Producto 17,,,,,,,,,,,34897.52,3.5,,,,,,,,,34897.52,3.5,07 abr 2022
Producto 32,,,,,,,,,,,7950.04,3.5,,,,,,,,,7950.04,3.5,07 abr 2022
Producto 63,,,,,,,,,,,33186.65,3.5,,,,,,,,,33186.65,3.5,07 abr 2022
,,,,,,,,,22679.37,3.5,,,,,,,,,,,22679.37,3.5,07 abr 2022
Producto 21,,,,,,,,,,,15168.86,7,,,,,,,,,15168.86,7,07 abr 2022
,,,,,,,,,7718.27,3.5,13687.59,7,,,,,,,,,21405.86,10.5,07 abr 2022
,,,8778.315,3.5,,,,,,,8798.895,3.5,,,,,,,,,17577.21,7,07 abr 2022
,,,,,,,,,,,,,,,16066.295,3.5,,,,,16066.295,3.5,07 abr 2022
Producto 22,,,,,,,,,,,23973.495,3.5,,,,,,,,,23973.495,3.5,07 abr 2022
Producto 36,,,,,,,,,,,34899.27,3.5,,,,,,,,,34899.27,3.5,07 abr 2022
Producto 84,,,,,,,,,,,54627.54500000001,3.5,,,,,,,,,54627.54500000001,3.5,07 abr 2022
Producto 41,,,103698.805,7,,,,,,,,,,,,,,,,,103698.805,7,07 abr 2022
Producto 85,,,,,,,,,,,69237.7,3.5,,,,,,,,,69237.7,3.5,07 abr 2022
Producto 43,,,62776.035,3.5,,,,,,,,,,,56966.735,3.5,,,,,119742.77,7,07 abr 2022
Producto 23,81464.32,3.5,,,,,,,,,,,,,,,,,,,81464.32,3.5,07 abr 2022
Producto 58,,,,,,,,,,,27007.33,3.5,,,,,,,,,27007.33,3.5,07 abr 2022
Producto 86,,,,,,,,,,,,,,,14692.58,3.5,,,,,14692.58,3.5,07 abr 2022
Producto 87,,,22630.02,3.5,,,,,,,,,,,,,,,,,22630.02,3.5,07 abr 2022
Producto 25,,,,,,,,,,,20938.855,3.5,,,,,,,,,20938.855,3.5,08 abr 2022
Producto 6,,,40959.135,3.5,,,,,,,,,,,,,,,,,40959.135,3.5,08 abr 2022
Producto 7,,,20296.185,3.5,,,,,,,,,,,20232.275,3.5,,,,,40528.46000000001,7,08 abr 2022
Producto 8,,,,,,,,,,,25525.36,3.5,,,,,,,,,25525.36,3.5,08 abr 2022
Producto 9,,,,,,,,,,,105881.755,14,,,,,,,,,105881.755,14,08 abr 2022
Producto 10,,,,,,,,,,,,,,,39702.285,3.5,,,,,39702.285,3.5,08 abr 2022
Producto 88,,,,,,,,,,,44223.69,3.5,,,,,,,,,44223.69,3.5,08 abr 2022
Producto 12,,,,,,,,,,,29341.235,7,,,15087.03,3.5,,,,,44428.265,10.5,08 abr 2022
Producto 13,,,,,,,,,23269.89,3.5,20633.375,3.5,,,,,,,,,43903.265,7,08 abr 2022
Producto 68,,,,,,,,,,,,,12676.23,3.5,,,,,,,12676.23,3.5,08 abr 2022
Producto 28,,,,,,,,,,,31589.005,3.5,,,,,,,,,31589.005,3.5,08 abr 2022
Producto 29,,,,,,,,,,,,,,,,,34949.32,3.5,,,34949.32,3.5,08 abr 2022
Producto 15,25193.14,3.5,,,,,,,,,,,,,,,,,,,25193.14,3.5,08 abr 2022
Producto 30,,,,,,,,,,,21241.01,3.5,,,22303.05,3.5,,,,,43544.06,7,08 abr 2022
Producto 31,,,,,,,,,,,61038.565,7,,,,,,,,,61038.565,7,08 abr 2022
Producto 63,,,33186.65,3.5,,,,,,,,,,,,,,,,,33186.65,3.5,08 abr 2022
Producto 33,,,,,,,,,,,15170.68,3.5,,,,,,,,,15170.68,3.5,08 abr 2022
